AF;sea
AX;euw
AL;euw
DZ;euw
AS;usc
AD;euw
AO;euw
AI;usc
AQ;usc
AG;usc
AR;usc
AM;euw
AW;usc
AU;sea
AT;euw
AZ;euw
BS;usc
BH;euw
BD;sea
BB;usc
BY;euw
BE;euw
BZ;usc
BJ;euw
BM;usc
BT;sea
BO;usc
BQ;usc
BA;euw
BW;euw
BV;euw
BR;usc
IO;sea
BN;sea
BG;euw
BF;euw
BI;euw
KH;sea
CM;euw
CA;usc
CV;euw
KY;usc
CF;euw
TD;euw
CL;usc
CN;sea
CX;sea
CC;sea
CO;usc
KM;euw
CG;euw
CD;euw
CK;sea
CR;usc
CI;euw
HR;euw
CU;usc
CW;usc
CY;euw
CZ;euw
DK;euw
DJ;euw
DM;usc
DO;usc
EC;usc
EG;euw
SV;usc
GQ;euw
ER;euw
EE;euw
ET;euw
FK;usc
FO;euw
FJ;sea
FI;euw
FR;euw
GF;usc
PF;sea
TF;sea
GA;euw
GM;euw
GE;euw
DE;euw
GH;euw
GI;euw
GR;euw
GL;usc
GD;usc
GP;usc
GU;sea
GT;usc
GG;euw
GN;euw
GW;euw
GY;usc
HT;usc
HM;usc
VA;euw
HN;usc
HK;sea
HU;euw
IS;euw
IN;sea
ID;sea
IR;euw
IQ;euw
IE;euw
IM;euw
IL;euw
IT;euw
JM;usc
JP;sea
JE;euw
JO;euw
KZ;sea
KE;euw
KI;sea
KP;sea
KR;sea
KW;euw
KG;euw
LA;sea
LV;euw
LB;euw
LS;euw
LR;euw
LY;euw
LI;euw
LT;euw
LU;euw
MO;sea
MK;euw
MG;euw
MW;euw
MY;sea
MV;sea
ML;euw
MT;euw
MH;sea
MQ;usc
MR;euw
MU;euw
YT;euw
MX;usc
FM;sea
MD;euw
MC;euw
MN;sea
ME;euw
MS;usc
MA;euw
MZ;euw
MM;sea
NA;euw
NR;sea
NP;sea
AN;euw
NL;euw
NC;sea
NZ;sea
NI;usc
NE;euw
NG;euw
NU;sea
NF;sea
MP;sea
NO;euw
OM;euw
PK;sea
PW;sea
PS;euw
PA;usc
PG;sea
PY;usc
PE;usc
PH;sea
PN;sea
PL;euw
PT;euw
PR;usc
QA;euw
RE;euw
RO;euw
RU;euw
RW;euw
BL;usc
SH;euw
KN;usc
LC;usc
MF;usc
PM;usc
VC;usc
WS;sea
SM;euw
ST;euw
SA;euw
SN;euw
RS;euw
SC;euw
SL;euw
SG;sea
SX;usc
SK;euw
SI;euw
SB;sea
SO;euw
ZA;euw
GS;euw
SS;euw
SD;euw
ES;euw
LK;sea
SR;usc
SJ;euw
SZ;euw
SE;euw
CH;euw
SY;euw
TW;sea
TJ;euw
TZ;euw
TH;sea
TL;sea
TG;euw
TK;sea
TO;sea
TT;usc
TN;euw
TR;euw
TM;euw
TC;usc
TV;sea
UG;euw
UA;euw
AE;euw
GB;euw
US;usc
UM;usc
UY;usc
UZ;euw
VU;sea
VE;usc
VN;sea
VG;usc
VI;usc
WF;sea
EH;euw
YE;euw
ZM;euw
ZW;euw
